Gene stable ID,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000100871,
ENSMUSG00000100532,
ENSMUSG00000100716,
ENSMUSG00000100325,
ENSMUSG00000101772,
ENSMUSG00000099667,
ENSMUSG00000099789,
ENSMUSG00000099593,
ENSMUSG00000101109,
ENSMUSG00000101582,
ENSMUSG00000101541,
ENSMUSG00000101273,
ENSMUSG00000101508,
ENSMUSG00000101884,
ENSMUSG00000100906,
ENSMUSG00000100852,
ENSMUSG00000100092,
ENSMUSG00000100284,
ENSMUSG00000099532,
ENSMUSG00002075613,
ENSMUSG00000102054,102635519
ENSMUSG00002076259,
ENSMUSG00000101131,
ENSMUSG00000099339,
ENSMUSG00000100740,
ENSMUSG00000099674,
ENSMUSG00000100718,
ENSMUSG00000101069,
ENSMUSG00000100023,
ENSMUSG00000100531,
ENSMUSG00000099483,
ENSMUSG00000100646,
ENSMUSG00000099409,
ENSMUSG00000099522,
ENSMUSG00000100938,
ENSMUSG00000101950,
ENSMUSG00000099441,
ENSMUSG00000100411,
ENSMUSG00000100449,
ENSMUSG00000100970,
ENSMUSG00000099642,
ENSMUSG00000101354,
ENSMUSG00000101204,
ENSMUSG00000101835,
ENSMUSG00000102127,
ENSMUSG00000099362,
ENSMUSG00000099921,
ENSMUSG00002076147,
ENSMUSG00000095650,100040911
ENSMUSG00000099477,
ENSMUSG00000102092,
ENSMUSG00000101989,
ENSMUSG00000100288,
ENSMUSG00000099341,
ENSMUSG00000101282,
ENSMUSG00002075299,
ENSMUSG00000101346,
ENSMUSG00000102061,
ENSMUSG00000100541,
ENSMUSG00000101961,
ENSMUSG00000099367,
ENSMUSG00000099666,
ENSMUSG00000100240,
ENSMUSG00000101347,
ENSMUSG00000099824,
ENSMUSG00000101263,
ENSMUSG00002076549,
ENSMUSG00000099986,
ENSMUSG00000100118,
ENSMUSG00000100854,
ENSMUSG00000101092,
ENSMUSG00000100817,
ENSMUSG00000102122,108168553
ENSMUSG00000099513,
ENSMUSG00000101552,
ENSMUSG00000102110,
ENSMUSG00000100973,
ENSMUSG00000100388,
ENSMUSG00000099588,
ENSMUSG00000100028,
ENSMUSG00000100350,
ENSMUSG00000099867,
ENSMUSG00000100887,
ENSMUSG00000100773,
ENSMUSG00000100365,
ENSMUSG00000099985,
ENSMUSG00000099916,
ENSMUSG00000099613,
ENSMUSG00000101557,
ENSMUSG00000101222,
ENSMUSG00000101902,
ENSMUSG00000100787,
ENSMUSG00000101002,
ENSMUSG00000099856,100042201
ENSMUSG00000101019,
ENSMUSG00000101241,
ENSMUSG00000101684,
ENSMUSG00000100695,
ENSMUSG00000100820,
ENSMUSG00000101866,
ENSMUSG00000101931,
ENSMUSG00000101646,
ENSMUSG00000100947,
ENSMUSG00000100461,
ENSMUSG00000100746,
ENSMUSG00000099675,
ENSMUSG00000101770,
ENSMUSG00000100248,
ENSMUSG00000099643,
ENSMUSG00000100996,
ENSMUSG00000099777,
ENSMUSG00000100930,
ENSMUSG00000099559,
ENSMUSG00000099637,
ENSMUSG00000100440,
ENSMUSG00000099565,
ENSMUSG00000099649,
ENSMUSG00000100391,
ENSMUSG00000101984,
ENSMUSG00000099494,
ENSMUSG00000100637,
ENSMUSG00000101850,
ENSMUSG00000099745,
ENSMUSG00000099436,
ENSMUSG00000101883,
ENSMUSG00000100067,
ENSMUSG00000102022,
ENSMUSG00000101497,
ENSMUSG00000101694,
ENSMUSG00000100492,
ENSMUSG00000099725,
ENSMUSG00000100853,
ENSMUSG00000099982,
ENSMUSG00000099506,
ENSMUSG00000101402,
ENSMUSG00000100584,
ENSMUSG00000100574,
ENSMUSG00000101570,
ENSMUSG00000101885,
ENSMUSG00000100095,
ENSMUSG00000102011,
ENSMUSG00000099654,
ENSMUSG00000100533,
ENSMUSG00000094729,434960
ENSMUSG00000094729,100862371
ENSMUSG00000094729,108168629
ENSMUSG00000100332,
ENSMUSG00000100678,
ENSMUSG00000101547,
ENSMUSG00000100401,
ENSMUSG00000101367,
ENSMUSG00000100778,
ENSMUSG00000100835,
ENSMUSG00000100045,100042578
ENSMUSG00000101018,
ENSMUSG00000101178,
ENSMUSG00000101566,
ENSMUSG00000101190,
ENSMUSG00000099942,
ENSMUSG00000101368,
ENSMUSG00000099682,
ENSMUSG00000100227,
ENSMUSG00000099456,
ENSMUSG00000101783,
ENSMUSG00000100089,
ENSMUSG00000101542,
ENSMUSG00000099509,
ENSMUSG00000100424,
ENSMUSG00002076770,
ENSMUSG00000101534,
ENSMUSG00000100184,
ENSMUSG00000101967,
ENSMUSG00000101723,
ENSMUSG00000102056,
ENSMUSG00000099442,
ENSMUSG00000101148,
ENSMUSG00000101580,
ENSMUSG00000100054,
ENSMUSG00000100889,
ENSMUSG00000099607,
ENSMUSG00000100242,
ENSMUSG00000100167,
ENSMUSG00000100144,
ENSMUSG00000101045,
ENSMUSG00000101021,
ENSMUSG00000099485,
ENSMUSG00000099548,
ENSMUSG00000101891,
ENSMUSG00000100238,
ENSMUSG00000101103,
ENSMUSG00000099866,
ENSMUSG00000101910,
ENSMUSG00000100579,
ENSMUSG00000100057,108168560
ENSMUSG00000101592,
ENSMUSG00000100609,102635519
ENSMUSG00000101993,
ENSMUSG00000099935,
ENSMUSG00000100012,
ENSMUSG00000099836,
ENSMUSG00000100404,
ENSMUSG00000099865,
ENSMUSG00000100474,
ENSMUSG00000100757,
ENSMUSG00000100606,
ENSMUSG00000101170,
ENSMUSG00000099355,
ENSMUSG00000100874,
ENSMUSG00000101689,
ENSMUSG00000099626,
ENSMUSG00000102108,
ENSMUSG00000093950,100040031
ENSMUSG00000093950,108168570
ENSMUSG00000093950,108168660
ENSMUSG00000101466,
ENSMUSG00000101614,
ENSMUSG00000101882,
ENSMUSG00000099585,
ENSMUSG00000101182,
ENSMUSG00000101668,
ENSMUSG00000099975,108168543
ENSMUSG00000099783,
ENSMUSG00000101390,
ENSMUSG00000099699,
ENSMUSG00000100856,108168557
ENSMUSG00000101544,
ENSMUSG00000100159,
ENSMUSG00000101119,
ENSMUSG00000099520,
ENSMUSG00000102107,
ENSMUSG00000101057,
ENSMUSG00000101125,
ENSMUSG00000100521,
ENSMUSG00000101790,
ENSMUSG00000100452,
ENSMUSG00000099350,
ENSMUSG00000100329,
ENSMUSG00000099940,
ENSMUSG00000101766,100042279
ENSMUSG00000101766,100861691
ENSMUSG00000101530,
ENSMUSG00000100676,
ENSMUSG00000101539,
ENSMUSG00000100353,
ENSMUSG00000101569,
ENSMUSG00000101184,
ENSMUSG00000099386,
ENSMUSG00000095785,108168570
ENSMUSG00000095785,108168660
ENSMUSG00000095785,108168662
ENSMUSG00000099487,
ENSMUSG00000101507,
ENSMUSG00000093993,380994
ENSMUSG00000100956,
ENSMUSG00000100942,
ENSMUSG00000100333,
ENSMUSG00000100126,
ENSMUSG00000099778,
ENSMUSG00000101512,
ENSMUSG00000101256,
ENSMUSG00000101758,
ENSMUSG00000099395,
ENSMUSG00000100982,
ENSMUSG00000100447,
ENSMUSG00000100607,
ENSMUSG00000099829,
ENSMUSG00000101278,
ENSMUSG00000101442,
